Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
117539,19.0,89.0,478.0,4042.0,6.0
117601,22.333333333333332,69.33333333333333,272.0,1575.6666666666667,29.666666666666668
88577,19.0,53.0,235.0,1398.0,18.0
117576,13.6,25.8,116.0,766.4,10.8
117554,26.8,64.4,294.6,1965.0,19.2
117559,10.0,18.666666666666668,105.0,712.3333333333334,4.666666666666667
114813,14.0,30.0,126.0,649.0,4.0
114527,104.0,306.0,1448.0,8685.0,43.0
117526,8.75,31.0,116.75,694.75,9.5
117496,19.0,46.5,197.0,1163.0,17.0
117314,7.0,22.181818181818183,114.18181818181819,682.7272727272727,14.727272727272727
112146,37.0,97.0,308.0,1940.0,34.0
109702,10.5,32.0,169.0,1032.5,3.5
114648,25.5,56.0,260.5,1593.5,13.5
117192,8.0,11.0,139.0,1223.0,1.0
117079,8.134615384615385,26.076923076923077,123.84615384615384,732.1923076923077,10.461538461538462
110387,0,0,0,0,0
108097,36.0,172.0,792.0,5230.0,59.0
116685,20.0,43.857142857142854,159.0,940.5714285714286,17.142857142857142
91899,8.6,14.8,46.0,243.0,3.2
115694,11.666666666666666,31.0,106.66666666666667,625.0,12.0
116911,2.5,5.0,29.5,192.5,2.0
115630,12.0,29.75,109.5,665.5,6.0
116770,10.666666666666666,15.0,76.66666666666667,528.3333333333334,3.0
116673,17.0,57.0,193.0,1083.0,13.0
113788,4.666666666666667,8.666666666666666,69.66666666666667,448.6666666666667,4.333333333333333
114565,4.0,7.333333333333333,66.0,413.0,4.0
116234,19.0,88.0,477.0,4027.0,6.0
116061,30.0,74.0,604.0,3787.0,18.0
115557,17.666666666666668,36.333333333333336,191.66666666666666,1246.3333333333333,8.666666666666666
114591,37.0,124.0,701.0,4542.0,35.0
115891,16.0,42.0,216.0,1433.0,8.0
115681,19.0,43.0,226.0,1490.0,17.0
115761,17.0,57.0,193.0,1085.0,13.0
115731,19.5,46.5,158.5,1077.0,22.0
115399,20.0,37.0,239.0,1751.0,16.0
115575,43.0,95.0,319.0,1891.0,23.0
115672,9.0,56.0,183.0,1288.0,9.0
115205,17.0,35.0,154.0,1070.0,12.0
115283,33.0,61.0,241.0,1397.0,33.0
108033,27.0,64.8,247.6,1533.0,24.0
62380,26.2,53.2,195.0,1094.6,14.0
115304,24.0,92.0,413.0,2816.0,14.0
114665,26.0,89.5,501.0,3505.0,19.0
80644,30.0,151.66666666666666,542.6666666666666,3332.6666666666665,27.0
72498,27.5,61.0,245.5,1531.5,26.5
111839,26.0,46.0,340.0,2346.0,27.0
109544,7.8,16.8,56.2,408.2,8.6
114962,11.8,30.8,126.0,741.8,6.6
114784,65.0,115.0,652.0,4287.0,48.0
100916,2.0,3.0,18.0,109.0,1.0
114819,25.0,52.0,207.0,1109.0,13.0
114615,22.333333333333332,42.0,176.33333333333334,1145.6666666666667,8.666666666666666
80833,25.5,88.0,490.0,3420.0,19.0
114514,10.333333333333334,21.333333333333332,83.33333333333333,503.6666666666667,8.333333333333334
72297,20.0,41.0,128.0,660.0,16.0
114637,27.692307692307693,78.07692307692308,406.84615384615387,2720.769230769231,14.538461538461538
114488,21.0,37.0,173.0,1181.0,12.0
109977,14.0,36.0,153.75,957.75,13.75
114240,79.0,255.0,1136.0,7706.0,59.0
114773,9.0,17.0,42.0,210.0,5.0
114742,3.0,6.0,49.0,294.0,3.0
114598,9.0,25.5,79.5,489.5,8.5
114542,17.0,44.5,165.83333333333334,1041.3333333333333,11.333333333333334
114541,65.0,184.0,750.0,4816.0,39.0
114550,18.0,42.0,174.0,1160.0,26.0
114390,12.75,34.375,134.5,859.5,9.5
114251,17.5,32.5,166.0,1066.5,8.5
113911,4.0,13.0,41.0,251.0,7.0
110285,7.0,10.0,33.5,143.0,4.0
114089,14.0,36.0,128.0,804.0,15.0
104900,26.0,84.0,372.0,2349.0,12.0
113575,41.0,87.0,397.0,2437.0,35.0
108324,17.5,29.25,118.0,655.75,14.5
