file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
274236,a43903e,,43.0,0.0,0.0,0.0,153.0,1.0,0.0,94.0,1567.0,0.956392,0.095265925,0.33021626,62.0,2.0,53.0,3.0,3.0,3.0,0,0.0,4.0,1.0,27.0,8.0,2.0,25.0,0.0,0.0,12.0,0.0,1.0,540.0,70.0,20.0,42.0,3.0,5.0,9.0,19.0,106.0,4.0,97.0,4.0,1.0,0.0,0.0,281.0,1.0,0.0
269020,1431c14,,9.0,0.0,0.0,0.0,46.0,2.0,0.0,31.0,83.0,0.82857144,0.07272727,0.18181819,15.0,0.0,6.0,4.0,3.0,2.0,0,0.0,3.0,0.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,149.0,24.0,3.0,14.0,0.0,6.0,5.0,5.0,37.0,2.0,25.0,2.0,0.0,0.0,0.0,188.0,1.0,0.0
244284,491760d,,53.0,0.0,0.0,0.0,117.0,3.0,0.0,129.0,1868.0,0.9625,0.040677965,0.09152542,64.0,0.0,18.0,4.0,39.0,3.0,0,0.0,0.0,0.0,20.0,5.0,2.0,16.0,1.0,1.0,3.0,0.0,2.0,775.0,38.0,7.0,26.0,1.0,6.0,6.0,52.0,146.0,4.0,92.0,4.0,15.0,1.0,0.0,366.0,1.0,0.0
249502,5960659,,119.0,0.0,0.0,0.0,455.0,2.0,0.0,367.0,10920.0,0.98151594,0.02303585,0.04286804,152.0,0.0,66.0,37.0,25.0,24.0,0,0.0,8.0,0.0,63.0,14.0,6.0,49.0,0.0,8.0,15.0,0.0,9.0,2182.0,101.0,32.0,153.0,13.0,24.0,31.0,78.0,406.0,12.0,333.0,8.0,29.0,1.0,0.0,742.0,1.0,0.0
224341,bb2a785,,16.0,0.0,0.0,0.0,31.0,2.0,0.0,44.0,102.0,0.78125,0.04761905,0.04761905,16.0,0.0,1.0,9.0,2.0,4.0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,133.0,10.0,0.0,9.0,0.0,0.0,6.0,3.0,15.0,0.0,11.0,2.0,4.0,0.0,0.0,148.0,0.0,0.0
154730,fded5c6,,23.0,0.0,0.0,0.0,86.0,2.0,0.0,78.0,532.0,0.8819444,0.08067227,0.09243698,36.0,0.0,24.0,1.0,10.0,1.0,0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,351.0,24.0,8.0,27.0,0.0,8.0,2.0,19.0,69.0,0.0,62.0,3.0,4.0,0.0,0.0,215.0,1.0,0.0
261622,0ab7aa1,,24.0,0.0,0.0,0.0,33.0,2.0,0.0,49.0,31.0,0.8531469,0.13333334,0.13333334,11.0,0.0,5.0,5.0,1.0,0.0,0,0.0,0.0,0.0,13.0,5.0,2.0,10.0,1.0,0.0,4.0,0.0,2.0,185.0,10.0,5.0,6.0,1.0,2.0,4.0,7.0,48.0,1.0,42.0,2.0,3.0,0.0,0.0,131.0,1.0,0.0
267791,9c2add1,,43.0,0.0,0.0,0.0,113.0,3.0,0.0,139.0,409.0,0.9222689,0.116959065,0.45614034,34.0,0.0,15.0,15.0,4.0,0.0,0,0.0,0.0,0.0,28.0,10.0,1.0,26.0,0.0,1.0,8.0,0.0,0.0,847.0,30.0,7.0,30.0,7.0,1.0,10.0,38.0,120.0,1.0,97.0,5.0,18.0,2.0,0.0,338.0,1.0,0.0
273752,31ec5f3,,44.0,0.0,0.0,0.0,154.0,1.0,0.0,96.0,1567.0,0.956392,0.095265925,0.33021626,62.0,2.0,53.0,3.0,3.0,3.0,0,0.0,4.0,1.0,27.0,8.0,2.0,25.0,0.0,0.0,12.0,0.0,1.0,549.0,71.0,20.0,43.0,3.0,5.0,9.0,22.0,108.0,4.0,99.0,4.0,2.0,0.0,0.0,282.0,1.0,0.0
273667,7bbf881,,22.0,0.0,0.0,0.0,34.0,2.0,0.0,59.0,152.0,0.875,0.104761906,0.13333334,20.0,0.0,4.0,5.0,11.0,0.0,0,0.0,0.0,0.0,8.0,3.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,224.0,7.0,2.0,7.0,1.0,0.0,5.0,7.0,42.0,1.0,33.0,4.0,3.0,1.0,0.0,137.0,1.0,0.0
