Bug_id, Commit Number of Functions, Commit total cyclomatic complexity, Commit total lines of code,Commit token_count,Commit parameters
299326,33.411723329425556,97.29824150058617,419.3781946072685,2899.5010550996485,28.47831184056272
299325,33.405297702766056,97.27684013127052,419.2831692451946,2898.834974214721,28.473277074542896
299324,33.39925023430178,97.24671977507029,419.1384723523899,2897.788894095595,28.47141518275539
299322,33.39212930428672,97.22487702037948,419.04567814476457,2897.1492152728974,28.46498008901382
298851,33.386416861826696,97.20889929742388,418.9749414519906,2896.656908665105,28.460187353629976
299304,33.375,97.17275280898876,418.83356741573033,2895.702715355805,28.44873595505618
299272,33.366401497426295,97.14740290126345,418.7533926064576,2895.208001871783,28.442676649508655
299255,33.35906432748538,97.12584795321638,418.65847953216377,2894.547368421053,28.436491228070174
299249,33.33792942276233,97.05001168497313,418.31526057490066,2892.1238607151204,28.419023136246786
299246,33.265329913732806,96.83096292842154,417.36185591046865,2885.497785031476,28.35602704593145
299210,33.24080111783884,96.7433628318584,416.9785747554728,2882.7962272938985,28.331392640894272
299209,33.22108447754247,96.68955084942984,416.74819641610424,2881.2836862927625,28.316034442634397
299208,33.218939041414615,96.68403908794788,416.71079571893904,2880.9806886924152,28.317124243834343
299207,33.218422889043964,96.68434519655735,416.7194696441033,2880.916957431961,28.319376599209118
299172,33.20646361311323,96.64891885607999,416.55568472448266,2879.797488956057,28.310160427807485
299166,33.20037192003719,96.6301720130172,416.487680148768,2879.3296141329615,28.30427708042771
296253,33.19237918215613,96.60223048327137,416.35618029739777,2878.438661710037,28.299024163568774
199923,33.19512195121951,96.62253193960511,416.4183507549361,2878.8278745644598,28.307084785133565
298900,33.17734447539461,96.56708449396471,416.18036211699166,2877.177808727948,28.290389972144848
298850,33.17935034802784,96.56798143851508,416.18399071925757,2877.078422273782,28.28677494199536
298857,33.159054022722,96.50776721539532,415.92696498956644,2875.2979364711337,28.26895432413633
298848,33.15554010199351,96.50602688919795,415.91075567918404,2875.1636532220678,28.267501159017154
298748,33.13975011568718,96.43081906524758,415.721888014808,2873.71517815826,28.237390097177233
298415,33.122774566473986,96.3828901734104,415.5514450867052,2872.605549132948,28.22335260115607
255629,33.106270170585525,96.29829414476717,415.28192715537114,2870.4585062240662,28.191332411249423
297728,33.12188940092166,96.32880184331798,415.4377880184332,2871.4850230414745,28.2036866359447
271530,33.11510128913444,96.28936464088397,415.26427255985266,2870.108655616943,28.19866482504604
158642,33.1299149229708,96.32375258680156,415.4189468843412,2870.534375718556,28.19866636008278
298130,33.14643103052559,96.29056690383291,415.18131742024326,2869.033279779665,28.178333715859537
243381,33.141349242771916,96.27673244607618,415.13331803579626,2868.7326755392382,28.173703533731068
259955,33.144069740766234,96.27735719201652,415.2534985088323,2869.5102087634777,28.17297545308557
297486,33.136926605504584,96.25642201834863,415.1621559633028,2868.873623853211,28.167201834862386
296159,33.13529007108461,96.24421004356799,415.10800275166247,2868.4164182526943,28.166704884200872
297608,33.13182026593306,96.24232003668043,415.0905547913801,2868.272581384686,28.165291150848233
297400,33.11961503208066,96.20921173235564,414.9429422548121,2867.2662694775436,28.156049495875344
297459,33.10971140632157,96.18873110398535,414.8327989005955,2866.433806688044,28.150022904260194
297440,33.10187728937729,96.1771978021978,414.74679487179486,2865.697344322344,28.145833333333332
296565,33.06698673982625,96.08184727937814,414.3694558756287,2862.900548696845,28.115912208504803
296646,33.064685714285716,96.07657142857143,414.35977142857143,2862.728,28.112914285714286
229340,33.06558500914077,96.09140767824498,414.39236745886654,2863.081352833638,28.1304844606947
296822,33.06188627540534,96.07604475907742,414.28385476136106,2862.0847225393927,28.126741265129024
296796,33.052727687742525,96.04747774480713,414.1837480027391,2861.431408354257,28.117553070075324
296695,33.05864901871291,96.06115928799635,414.21633957097214,2861.528069374715,28.120949338201733
284265,33.05588503649635,96.04242700729927,414.1646897810219,2861.1352645985403,28.121122262773724
293658,33.05427594070696,96.03101482326112,414.12086659064994,2860.814595210946,28.119726339794756
295386,33.03325740318907,95.95876993166287,413.8061503416856,2858.489293849658,28.09726651480638
296473,33.02596219539968,95.93714415850603,413.71578228194033,2857.8547028011844,28.091095422455023
294462,33.02823315118397,95.94489981785064,413.74043715846994,2857.895947176685,28.091985428051
296364,32.97091570097705,95.78232219950011,413.09406952965236,2853.476937059759,28.049306975687344
296356,32.92876588021779,95.65335753176043,412.5666969147006,2849.771324863884,28.009301270417424
295391,32.89420027186225,95.55663797009515,412.1671952877209,2847.096057997281,27.98142274580879
292322,32.898980747451866,95.57802944507361,412.2303510758777,2847.4249150622877,27.99343148357871
126705,32.89334239130435,95.56114130434783,412.1548913043478,2846.882019927536,27.99026268115942
296056,32.87958352195564,95.52059755545496,411.9861928474423,2845.7005432322317,27.978044363965594
253232,32.87621633853813,95.50667571848835,411.92192803801765,2845.236478841367,27.973523421588595
294790,32.873105632209906,95.52205383397421,412.01696448767245,2845.8611173942545,27.981225966975796
292091,32.867284648428665,95.52995704273118,412.0626271761248,2846.08659281031,27.985756274022158
294210,32.89195298372513,95.60284810126582,412.4405515370705,2848.6482820976494,28.018535262206147
270092,32.890621468926554,95.59502824858757,412.39570621468926,2848.2506214689265,28.01401129943503
294796,32.908557236396476,95.64032512982615,412.5423346127794,2848.91058929781,28.026416798374353
293512,32.927781539155944,95.6962310990747,412.8354773188896,2850.463777928233,28.033401038140376
257185,32.9523916967509,95.76850180505416,413.2109657039711,2853.010604693141,28.06611010830325
294303,32.94951543835925,95.74847870182556,413.0892494929006,2851.958981293667,28.05769664187514
283898,32.94411897251014,95.73163587201442,413.0178008111762,2851.468454258675,28.05565570076611
60574,32.93872493804911,95.7148006307727,412.94638432079296,2850.978148231584,28.053615679207027
58474,32.93333333333333,95.69797297297298,412.875,2850.4880630630632,28.051576576576576
295880,32.92726863319072,95.68340463859491,412.8115289349246,2850.0657509569915,28.04796217068228
295611,32.92368302566412,95.67739756866277,412.78320576316975,2849.837010355696,28.045925258892392
293130,32.917922194738026,95.6462783899258,412.66201933888016,2848.957499437823,28.04025185518327
286107,32.912544964028775,95.62679856115108,412.5816097122302,2848.3855665467627,28.03507194244604
295277,32.9055967633176,95.60665318049,412.49876376713866,2847.8177118453586,28.029444819060462
159176,32.923370786516855,95.67932584269663,412.7791011235955,2849.6188764044946,28.042471910112358
294992,32.916423275668386,95.65872837564592,412.6895079757358,2849.000224668614,28.036845652662322
294777,32.90433415674826,95.6225016842578,412.55602964293735,2848.118122613968,28.026723557152483
294738,32.89919173776381,95.60440053884149,412.4775482712169,2847.546475078581,28.022227211495284
292247,32.91402918069585,95.6381593714927,412.5732884399551,2847.958249158249,28.04107744107744
289409,32.94368409243886,95.70563159075611,412.7646398923042,2848.7812429885576,28.078752524119363
294307,32.94706146253925,95.6982951996411,412.83221175414985,2849.296545536115,28.07649170031404
294497,32.94146669656874,95.68266427450101,412.7564476339987,2848.7909845256786,28.07333482843687
294493,32.929179740026896,95.63558942178395,412.56925145674586,2847.49170775437,28.058942178395338
294046,32.91644265232975,95.59610215053763,412.4094982078853,2846.390681003584,28.046594982078854
294096,32.91198208286674,95.58790593505039,412.3767077267637,2846.175811870101,28.04501679731243
288767,32.92478173270651,95.6232370718603,412.5072755764495,2846.930826057757,28.054846653234833
293787,32.930393912265,95.63719785138764,412.54319606087734,2847.0738585496865,28.056848701880035
293600,32.93376594316402,95.62989483105841,412.6110986797941,2847.5934213470573,28.05459834414858
289988,32.92930648769575,95.62192393736018,412.5973154362416,2847.504250559284,28.051230425055927
293357,32.86922561928141,95.44253514840437,411.8596295469761,2842.531354608346,28.005355947333186
293346,32.866131191432395,95.42704149933066,411.8197233377956,2842.301651048639,28.000669344042837
293310,32.859692170421596,95.40687039928619,411.73076065134956,2841.6836939549407,27.995315636850325
293303,32.85325602140946,95.38648528099911,411.6413916146298,2841.064005352364,27.989964317573595
292672,32.84682274247491,95.36610925306577,411.5520624303233,2840.4445930880715,27.984615384615385
293199,32.85711101203745,95.40637539010254,411.6830138207757,2841.0376727596968,27.98796255015604
190288,32.85535992868286,95.402496099844,411.6681524403833,2840.8676175618452,27.98707376866503
288766,32.853865003341504,95.38226776564936,411.6785475607039,2840.9926486968143,27.980619291601695
250604,32.859496771320416,95.40369628145179,411.76798040525495,2841.298597194389,27.97773324426631
292901,32.88089937666963,95.45169189670526,411.99710596616205,2842.8185663401605,27.995102404274267
193600,32.87141268075639,95.43047830923248,411.89899888765297,2842.1125695216906,27.992880978865404
292762,32.8654359430605,95.4105871886121,411.8116103202847,2841.505338078292,27.98887900355872
292759,32.88659106070714,95.45741605514787,412.03468979319547,2842.987769624194,28.006004002668444
280799,32.879946642952426,95.43841707425523,411.9533125833704,2842.4061805246774,28.0
291755,32.868339253996446,95.38565719360568,411.7460035523979,2840.912078152753,27.991785079928952
259048,32.85777679165742,95.34901264699357,411.56667406256935,2839.565786554249,27.983802973152873
290964,32.84919050787314,95.32490574406742,411.4788201375028,2839.0279441117764,27.97737857618097
277886,32.845676274944566,95.31064301552107,411.41241685144126,2838.548780487805,27.974057649667404
165180,32.851917534914655,95.3265351363334,411.4772777654622,2838.8731988472623,27.981822212369764
256651,32.85049833887043,95.31472868217054,411.4146179401993,2838.036766334441,27.96921373200443
288804,32.85192563081009,95.31739707835325,411.4070385126162,2837.6427622841966,27.96215139442231
284330,32.84845132743363,95.30553097345133,411.362389380531,2837.2035398230087,27.956858407079647
262022,32.852720035382575,95.32441397611676,411.4201680672269,2837.283724015922,27.954002653693056
279553,32.844198895027624,95.29458563535911,411.29303867403314,2836.2550276243096,27.943204419889504
292170,32.791969997793956,95.1343481138319,410.60930950805204,2831.525259210236,27.897860136774764
287454,32.77993384785005,95.09636163175303,410.48401323043,2830.8011025358323,27.886879823594267
276164,32.77843915343915,95.09413580246914,410.48236331569666,2830.7473544973545,27.88536155202822
199127,32.77275732863126,95.0771434868856,410.414811549482,2830.2433325986335,27.882080670046285
290834,32.766196562362275,95.05773468488321,410.334728955487,2829.706478624945,27.875936535918907
282653,32.75941837409121,95.03921568627452,410.26437541308655,2829.2181097157963,27.870456047587574
275477,32.75528634361233,95.02268722466961,410.19823788546256,2828.7436123348016,27.866740088105725
282535,32.76194670777362,95.04558467297952,410.3049988989209,2829.479630037437,27.86941202378331
274262,32.761883802816904,95.04797535211267,410.3604753521127,2829.7440580985917,27.862896126760564
281145,32.75489548954896,95.02926292629263,410.2811881188119,2829.1898789878987,27.856985698569858
259357,32.7540695116586,95.02793664760229,410.27760668719753,2829.1170259568853,27.856577210734713
288769,32.749285243017376,95.01561469100506,410.22630305696066,2828.773037167363,27.852430173740927
291934,32.737304902176305,94.98109474609804,410.08881072763245,2827.8797537920423,27.842822598373267
288770,32.756537024829704,95.01889694572621,410.3124588002637,2829.2759833003734,27.854317732366514
290450,32.757469244288224,95.03339191564147,410.344683655536,2829.6230228471004,27.871265377855888
201650,32.755106523171534,95.01976718647046,410.2789369646387,2829.1276081704373,27.86887766307929
211664,32.7536231884058,95.01515151515152,410.2531840140536,2828.924901185771,27.87000439174352
64830,32.788250767207366,95.14511179307321,410.7595352915388,2831.627575624726,27.885138097325733
